"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1647","BOY6",4,"Other",105.491,"Boyicup","HAZE","2022-04-16 19:05:00","C",2,"BOY6",4.148,0.0393208899337384,"Non-havened","Upper_Warren",0.494
"1648","BOY9",4,"Other",53.099,"Boyicup","GRBL","2022-04-15 21:42:00","C",1,"BOY9",0.75,0.0141245597845534,"Non-havened","Upper_Warren",0.494
"1649","G12",4,"Other",70.209,"Perup_Sanctuary","HAZE","2022-04-22 22:14:00","F",1,"G12",2.233,0.0318050392399835,"Havened","Upper_Warren",0.83
"1650","H15",4,"Other",12.471,"Perup_Sanctuary","GRBL","2022-04-19 18:09:00","C",1,"H15",2.499,0.200384892951648,"Havened","Upper_Warren",0.83
"1651","I14",4,"Other",168.474,"Perup_Sanctuary","GRBL","2022-04-19 18:17:00","F",1,"I14",1.252,0.00743141374930256,"Havened","Upper_Warren",0.83
"1652","I16",4,"Other",42.798,"Perup_Sanctuary","TASH","2022-04-16 20:15:00","C",1,NA,0,0,"Havened","Upper_Warren",0.83
"1653","I19",4,"Other",10.717,"Perup_Sanctuary","TASH","2022-04-13 19:09:00","F",1,NA,0,0,"Havened","Upper_Warren",0.83
"1654","J15",4,"Other",126.157,"Perup_Sanctuary","TASH","2022-04-19 19:11:00","C",1,NA,0,0,"Havened","Upper_Warren",0.83
"1655","K12",4,"Other",55.229,"Perup_Sanctuary","GRBL","2022-04-22 19:34:00","C",1,NA,0,0,"Havened","Upper_Warren",0.83
"1656","K14",4,"Other",23.692,"Perup_Sanctuary","GRBL","2022-04-19 20:12:00","C",1,"K14",1.801,0.0760172210028702,"Havened","Upper_Warren",0.83
"1657","MOO20",4,"Other",48.733,"Moopinup","GRBL","2022-04-19 01:23:00","C",2,"MOO20",5.375,0.110294872057948,"Non-havened","Upper_Warren",0.346
"1658","NH08",4,"Other",77.143,"Dryandra_main","TASH","2022-10-20 04:32:00","F",3,"NH08",3.954,0.0512554606380359,"Non-havened","Dryandra",1.39
"1659","NH24",4,"Other",7.076,"Dryandra_main","TASH","2022-10-19 21:20:00","C",3,"NH24",1.327,0.187535330695308,"Non-havened","Dryandra",1.39
"1660","NH31",4,"Other",9.875,"DNWS","TASH","2022-10-11 20:13:00","F",2,NA,0,0,"Havened","Dryandra",1.185
"1661","NH32",4,"Other",6.324,"Dryandra_main","TASH","2022-10-19 14:44:00","C",3,NA,0,0,"Non-havened","Dryandra",1.39
"1662","NH38",4,"Other",15.695,"DNWS","TASH","2022-10-12 19:28:00","F",3,"NH38",2.249,0.143294042688754,"Havened","Dryandra",1.185
"1663","NH42",4,"Other",9.526,"DNWS","TASH","2022-10-10 19:47:00","F",1,NA,0,0,"Havened","Dryandra",1.185
"1664","NH47",4,"Other",32.31,"DNWS","TASH","2022-10-10 21:40:00","C",1,NA,0,0,"Havened","Dryandra",1.185
"1665","NH68",4,"Other",44.263,"Dryandra_main","TASH","2022-10-18 01:40:00","F",1,"NH68",3.598,0.0812868535797393,"Non-havened","Dryandra",1.39
"1666","WWF10",4,"Other",10.476,"Dryandra_main","GRBL","2022-10-18 23:00:00","F",2,NA,0,0,"Non-havened","Dryandra",1.39
"1667","WWF12",4,"Other",16.235,"DNWS","GRBL","2022-10-11 20:37:00","C",2,NA,0,0,"Havened","Dryandra",1.185
"1668","WWF16",4,"Other",14.424,"DNWS","TASH","2022-10-11 20:42:00","F",2,"WWF16",1.649,0.114323349972268,"Havened","Dryandra",1.185
"1669","WWF18",4,"Other",62.472,"DNWS","TASH","2022-10-11 21:10:00","F",2,NA,0,0,"Havened","Dryandra",1.185
"1670","WWF21",4,"Other",99.555,"DNWS","TASH","2022-10-11 20:27:00","F",2,"WWF21",13.232,0.132911455979107,"Havened","Dryandra",1.185
